gene_name;protein_id
DDX17;H3BLZ8|Q92841
FMR1;Q06787|Q06787-3|Q06787-5|Q06787-8|Q06787-9
HNRNPR;O43390|O43390-2
HNRNPH1;D6RAM1|G8JLB6|P31943
HNRNPD;Q14103-3|Q14103-4
HNRNPDL;A0A087WUK2|O14979-3
G3BP2;Q9UN86
ELAVL1;Q15717
HNRNPAB;A0A087WZV1|D6R9P3|D6RBZ0|D6RD18|Q99729-2|Q99729-3
TAF15;A0A075B7D9|Q92804|Q92804-2
CAPRIN1;Q14444
HNRNPA2B1;P22626
HDLBP;A0A024R4E5|Q00341
HNRNPH3;P31942
U2AF2;P26368|P26368-2
CIRBP;Q14011
NONO;Q15233
MYEF2;A0A0A0MQW0|A0A0A0MR39
HNRNPF;P52597
KHSRP;Q92945
PABPN1;Q86U42|Q86U42-2
MSI2;B4DHE8|Q96DH6-2
TRNAU1AP;Q9NX07
SYNCRIP;O60506|O60506-3
TIAL1;Q01085|Q01085-2
TARDBP;Q13148
UBAP2L;F8W726|Q14157|Q14157-4|Q14157-5
HNRNPA0;Q13151
SF1;Q15637|Q15637-2|Q15637-3|Q15637-4|Q15637-6
API5;Q9BZZ5
GRSF1;F5H5I6|Q12849
SRSF9;Q13242
SRSF6;Q13247|Q13247-3
HNRNPM;M0QZM1|P52272|P52272-2
HNRNPA1;P09651
CELF2;A0A0J9YXJ0|E9PC62
CSDE1;O75534
FUBP1;Q96AE4|Q96AE4-2
SND1;Q7KZF4
TBRG4;Q969Z0
CELF1;F5H4Y5|G5EA30|Q92879-3
MFAP1;P55081
IGF2BP2;F8W930|Q9Y6M1|Q9Y6M1-1
SFPQ;P23246
PSPC1;Q8WXF1
HNRNPK;P61978-3
ARPP21;Q9UBL0|Q9UBL0-3
ESRP1;Q6NXG1|Q6NXG1-2|Q6NXG1-3|Q6NXG1-4|Q6NXG1-5
PUM2;Q8TB72|Q8TB72-3|Q8TB72-4
FXR2;P51116
G3BP1;Q13283
RBM10;A0A0A0MR66|P98175|P98175-2
SRSF1;J3KTL2|Q07955|Q07955-2|Q07955-3
EIF4H;Q15056
PUM1;H0YCK1|Q14671|Q5T1Z4
KHDRBS3;O75525|O75525-2
PUF60;Q9UHX1-6
SRSF5;Q13243
HNRNPH2;P55795
FUS;H3BPE7|P35637|P35637-2
PCBP1;Q15365
SF3B4;Q15427
HNRNPL;P14866
LRPPRC;P42704
ATXN2L;H3BUF6|Q8WWM7|Q8WWM7-2|Q8WWM7-3|Q8WWM7-4|Q8WWM7-5|Q8WWM7-6|Q8WWM7-8|Q8WWM7-9
EIF4A2;Q14240|Q14240-2
PTBP1;A0A087WUW5|A0A0U1RRM4|P26599|P26599-2|P26599-3
RBMS1;E7ETU5|F6Y5H0|P29558|P29558-2
EIF3G;K7ER90|O75821
EIF4A3;P38919
RBM12;Q9NTZ6
CCAR2;Q8N163
MEX3D;Q86XN8
FXR1;P51114|P51114-2
CSTF2;E7EWR4|P33240|P33240-2
UBAP2;Q5T6F2
SNRPD3;P62318|P62318-2
PCBP2;F8VZX2|Q15366-3|Q15366-6
MEX3B;Q6ZN04
LSM14A;A0A140TA76|Q8ND56|Q8ND56-3
RAVER1;A0A087WZ13|E9PAU2|Q8IY67-2
ZNF277;Q9NRM2
EIF4G1;E7EUU4|Q04637|Q04637-3|Q04637-8|Q04637-9
FUBP3;Q96I24
MAP1A;E9PGC8|P78559|P78559-2
SRSF4;Q08170
KHDRBS1;Q07666|Q07666-2
DDX39B;Q13838|Q13838-2
EIF4G3;A0A0U1RQK7|O43432|O43432-3|O43432-4
AKAP8;O43823
YTHDF1;Q9BYJ9
PURA;Q00577
MBNL1;A0A0A0MQX8|C9JP00|H7C4T5|Q9NR56|Q9NR56-2|Q9NR56-3|Q9NR56-4|Q9NR56-5|Q9NR56-6|Q9NR56-7
C11ORF68;Q9H3H3|Q9H3H3-2|Q9H3H3-3
SPTBN1;A0A087WUZ3|Q01082|Q01082-2|Q01082-3
IGF2BP3;O00425
TEX10;Q9NXF1|Q9NXF1-2
LARP4B;Q92615
