ENSG;ProtID;Symbol;
ENSG00000132541;P52758;HRSP12;
ENSG00000112651;Q5T653;MRPL2;
ENSG00000114867;Q04637;EIF4G1;
ENSG00000167112;O95900;TRUB2;
ENSG00000040341;Q9NUL3;STAU2;
ENSG00000182944;Q01844;EWSR1;
ENSG00000178105;Q13206;DDX10;
ENSG00000132541;P52758;HRSP12;
ENSG00000011260;Q9Y5J1;UTP18;
ENSG00000148843;Q14690;PDCD11;
ENSG00000145425;P61247;RPS3A;
ENSG00000121210;A2VDJ0;KIAA0922;
ENSG00000185651;P68036;UBE2L3;
ENSG00000163607;Q8N3Z3;GTPBP8;
ENSG00000164587;P62263;RPS14;
ENSG00000103067;Q9H6T0;ESRP2;
ENSG00000178952;P49411;TUFM;
ENSG00000087470;O00429;DNM1L;
ENSG00000029363;Q9NYF8;BCLAF1;
ENSG00000107164;Q96I24;FUBP3;
ENSG00000156928;Q96EH3;MALSU1;
ENSG00000116560;P23246;SFPQ;
ENSG00000121390;Q8WXF1;PSPC1;
ENSG00000096696;P15924;DSP;
ENSG00000138385;P05455;SSB;
ENSG00000100503;Q8N4C6;NIN;
ENSG00000138095;P42704;LRPPRC;
ENSG00000137710;P35241;RDX;
ENSG00000170515;Q9UQ80;PA2G4;
ENSG00000196924;P21333;FLNA;
ENSG00000100316;P39023;RPL3;
ENSG00000122965;Q9Y4C8;RBM19;
ENSG00000178372;Q9NZT1;CALML5;
ENSG00000241945;Q15269;PWP2;
ENSG00000089157;P05388;RPLP0;
ENSG00000005007;Q92900;UPF1;
ENSG00000137076;Q9Y490;TLN1;
ENSG00000182944;Q01844;EWSR1;
ENSG00000181588;Q86XN8;MEX3D;
ENSG00000145692;Q93088;BHMT;
ENSG00000092621;O43175;PHGDH;
ENSG00000148303;P62424;RPL7A;
ENSG00000130305;Q96P11;NSUN5;
ENSG00000136243;O15504;NUPL2;
ENSG00000135829;Q08211;DHX9;
ENSG00000107625;Q9BQ39;DDX50;
ENSG00000164163;P61221;ABCE1;
ENSG00000147274;P38159;RBMX;
ENSG00000100902;P60900;PSMA6;
ENSG00000107223;O60869;EDF1;
ENSG00000171497;Q08752;PPID;
ENSG00000204221;O15213;WDR46;
ENSG00000149925;J3KPS3;ALDOA;
ENSG00000178896;Q9NPD3;EXOSC4;
ENSG00000130305;Q96P11;NSUN5;
ENSG00000134644;Q5T1Z8;PUM1;
ENSG00000134987;Q8NI36;WDR36;
ENSG00000182909;Q96B70;LENG9;
ENSG00000148719;J3KPS0;DNAJB12;
ENSG00000055917;Q8TB72;PUM2;
ENSG00000132153;Q7L2E3;DHX30;
ENSG00000180098;Q9NX07;TRNAU1AP;
ENSG00000184897;Q92522;H1FX;
ENSG00000239306;Q96PK6;RBM14;
ENSG00000239306;Q96PK6;RBM14;
ENSG00000135316;O60506;SYNCRIP;
ENSG00000136279;Q9UJU6;DBNL;
ENSG00000005007;Q92900;UPF1;
ENSG00000136527;P62995;TRA2B;
ENSG00000164548;Q13595;TRA2A;
ENSG00000115677;Q00341;HDLBP;
ENSG00000106638;Q9Y4P3;TBL2;
ENSG00000100201;Q92841;DDX17;
ENSG00000105323;Q9BUJ2;HNRNPUL1;
ENSG00000089220;P30086;PEBP1;
ENSG00000183751;Q12788;TBL3;
ENSG00000172366;Q9BUT9;FAM195A;
ENSG00000239306;Q96PK6;RBM14;
ENSG00000239306;Q96PK6;RBM14;
ENSG00000165119;P61978;HNRNPK;
ENSG00000179950;Q9UHX1;PUF60;
ENSG00000076554;P55327;TPD52;
ENSG00000049883;Q8WV60;PTCD2;
ENSG00000132881;Q9BU20;RSG1;
ENSG00000161016;P62917;RPL8;
ENSG00000204221;O15213;WDR46;
ENSG00000117450;Q06830;PRDX1;
ENSG00000126945;P55795;HNRNPH2;
ENSG00000140988;P15880;RPS2;
ENSG00000244462;Q9NTZ6;RBM12;
ENSG00000144724;P23470;PTPRG;
ENSG00000149532;Q8N684;CPSF7;
ENSG00000114686;P09001;MRPL3;
ENSG00000160256;Q9NSI2;FAM207A;
ENSG00000008952;Q99442;SEC62;
ENSG00000197756;P61513;RPL37A;
ENSG00000152518;P47974;ZFP36L2;
ENSG00000177733;Q13151;HNRNPA0;
ENSG00000134308;P27348;YWHAQ;
ENSG00000175573;Q9H3H3;C11orf68;
ENSG00000161016;P62917;RPL8;
ENSG00000130254;Q14151;SAFB2;
ENSG00000100442;Q00688;FKBP3;
ENSG00000132300;Q96EY7;PTCD3;
ENSG00000168066;Q15637;SF1;
ENSG00000100138;P55769;NHP2L1;
ENSG00000179041;Q15050;RRS1;
ENSG00000143947;P62979;RPS27A;
ENSG00000089220;P30086;PEBP1;
ENSG00000142541;P40429;RPL13A;
ENSG00000121390;Q8WXF1;PSPC1;
ENSG00000115368;Q8IWA0;WDR75;
ENSG00000196943;Q86U38;NOP9;
ENSG00000113460;Q8TDN6;BRIX1;
ENSG00000106344;Q9NW13;RBM28;
ENSG00000139343;P62306;SNRPF;
ENSG00000132153;Q7L2E3;DHX30;
ENSG00000009307;G5E9Q2;CSDE1;
ENSG00000162613;B4DT31;FUBP1;
ENSG00000107164;Q96I24;FUBP3;
ENSG00000132153;Q7L2E3;DHX30;
ENSG00000147140;Q15233;NONO;
ENSG00000100201;Q92841;DDX17;
ENSG00000141994;Q96G46;DUS3L;
ENSG00000159140;P18583;SON;
ENSG00000148843;Q14690;PDCD11;
ENSG00000100650;Q13243;SRSF5;
ENSG00000115677;Q00341;HDLBP;
ENSG00000130305;Q96P11;NSUN5;
ENSG00000161634;P81605;DCD;
ENSG00000126777;Q86UP2;KTN1;
ENSG00000160633;Q15424;SAFB;
ENSG00000100601;Q13686;ALKBH1;
ENSG00000114416;P51114;FXR1;
ENSG00000005007;Q92900;UPF1;
ENSG00000257103;Q8ND56;LSM14A;
ENSG00000253729;P78527;PRKDC;
ENSG00000005007;Q92900;UPF1;
ENSG00000155506;Q6PKG0;LARP1;
ENSG00000135829;Q08211;DHX9;
ENSG00000158467;Q96HN2;AHCYL2;
ENSG00000148843;Q14690;PDCD11;
ENSG00000161813;Q71RC2;LARP4;
ENSG00000075239;P24752;ACAT1;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000143569;Q14157;UBAP2L;
ENSG00000111786;Q13242;SRSF9;
ENSG00000106211;P04792;HSPB1;
ENSG00000135387;Q14444;CAPRIN1;
ENSG00000122406;P46777;RPL5;
ENSG00000182810;Q9NUL7;DDX28;
ENSG00000130725;P61081;UBE2M;
ENSG00000023191;P13489;RNH1;
ENSG00000115677;Q00341;HDLBP;
ENSG00000066044;B4DVB8;ELAVL1;
ENSG00000123064;Q8TDD1;DDX54;
ENSG00000087087;Q9BXP5;SRRT;
ENSG00000015479;P43243;MATR3;
ENSG00000175416;P09497;CLTB;
ENSG00000242247;Q9NP61;ARFGAP3;
ENSG00000055917;Q8TB72;PUM2;
ENSG00000115677;Q00341;HDLBP;
ENSG00000105202;P22087;FBL;
ENSG00000177954;P42677;RPS27;
ENSG00000165704;P00492;HPRT1;
ENSG00000153187;Q00839;HNRNPU;
ENSG00000048828;Q9NZB2;FAM120A;
ENSG00000138095;P42704;LRPPRC;
ENSG00000133059;Q6XUX3;DSTYK;
ENSG00000170248;Q8WUM4;PDCD6IP;
ENSG00000118246;Q9NYY8;FASTKD2;
ENSG00000197694;Q13813;SPTAN1;
ENSG00000125944;O43390;HNRNPR;
ENSG00000009307;G5E9Q2;CSDE1;
ENSG00000129245;P51116;FXR2;
ENSG00000189306;Q9Y3A4;RRP7A;
ENSG00000180370;Q13177;PAK2;
ENSG00000071626;Q96EP5;DAZAP1;
ENSG00000172172;Q9BYD1;MRPL13;
ENSG00000136628;P07814;EPRS;
ENSG00000009307;G5E9Q2;CSDE1;
ENSG00000141141;Q9Y2R4;DDX52;
ENSG00000106344;Q9NW13;RBM28;
ENSG00000171988;Q15652;JMJD1C;
ENSG00000132153;Q7L2E3;DHX30;
ENSG00000134644;Q5T1Z8;PUM1;
ENSG00000006744;Q9BQ52;ELAC2;
ENSG00000164338;Q8TED0;UTP15;
ENSG00000132153;Q7L2E3;DHX30;
ENSG00000197157;Q7KZF4;SND1;
ENSG00000197157;Q7KZF4;SND1;
ENSG00000138095;P42704;LRPPRC;
ENSG00000142207;O60287;URB1;
ENSG00000155636;Q8IUH3;RBM45;
ENSG00000112306;P25398;RPS12;
ENSG00000127824;P68366;TUBA4A;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000135829;Q08211;DHX9;
ENSG00000163694;A0AV96;RBM47;
ENSG00000125944;O43390;HNRNPR;
ENSG00000148584;Q9NQ94;A1CF;
ENSG00000122566;P22626;HNRNPA2B1;
ENSG00000122566;P22626;HNRNPA2B1;
ENSG00000085733;Q14247;CTTN;
ENSG00000197157;Q7KZF4;SND1;
ENSG00000156469;Q96E29;MTERFD1;
ENSG00000174374;Q96I51;WBSCR16;
ENSG00000108953;P62258;YWHAE;
ENSG00000138029;P55084;HADHB;
ENSG00000185624;P07237;P4HB;
ENSG00000009307;G5E9Q2;CSDE1;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000160710;P55265;ADAR;
ENSG00000142534;P62280;RPS11;
ENSG00000005007;Q92900;UPF1;
ENSG00000197694;Q13813;SPTAN1;
