Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ACLY	ACL, ATPCL, CLATP	ENSG00000131473	ATP citrate lyase	17	41866908-41930542	Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB007783, HPA022434, HPA022953, HPA022959, HPA028758	Enhanced		Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol	Cervical cancer:1.79e-4 (unfavourable), Liver cancer:3.66e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 100.5	Expressed in all		
ACO1	IREB1, IREBP, IRP1	ENSG00000122729	Aconitase 1	9	32384603-32454769	Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA019371, HPA024157	Enhanced		Supported	Mitochondria<br>Cytosol	Renal cancer:5.73e-5 (favourable)	Expressed in all	Expressed in all			adipose tissue: 105.1	Expressed in all		
ACO2	ACONM	ENSG00000100412	Aconitase 2	22	41469125-41528989	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001097	Enhanced	Supported	Supported	Mitochondria	Renal cancer:0.00e+0 (favourable)	Expressed in all	Expressed in all			heart muscle: 308.9	Expressed in all		
CS		ENSG00000062485	Citrate synthase	12	56271699-56300392	Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA038460, HPA038461, CAB075750, CAB075751, CAB075752, CAB075753, CAB075754	Enhanced		Enhanced	Mitochondria	Renal cancer:1.17e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 190.9	Expressed in all		
DLAT	DLTA, PDC-E2	ENSG00000150768	Dihydrolipoamide S-acetyltransferase	11	112024814-112064390	Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB003782, HPA040786, HPA062766	Enhanced		Enhanced	Mitochondria	Renal cancer:1.95e-14 (favourable), Colorectal cancer:6.19e-6 (favourable), Liver cancer:7.49e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 31.0	Expressed in all		
DLD	DLDH, GCSL, LAD	ENSG00000091140	Dihydrolipoamide dehydrogenase	7	107890970-107931730	Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA044849	Enhanced		Supported	Mitochondria	Renal cancer:7.58e-9 (favourable)	Expressed in all	Expressed in all			heart muscle: 174.7	Expressed in all		
DLST	DLTS	ENSG00000119689	Dihydrolipoamide S-succinyltransferase	14	74881891-74903745	Citric acid cycle related proteins, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA003010	Supported				Renal cancer:1.13e-12 (favourable)	Expressed in all	Expressed in all			kidney: 106.7	Expressed in all		
FH	fumarase	ENSG00000091483	Fumarate hydratase	1	241497603-241519761	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB017785, HPA025770, HPA025948, HPA027341	Enhanced	Approved	Enhanced	Mitochondria	Renal cancer:2.76e-7 (favourable)	Expressed in all	Expressed in all			liver: 142.2	Expressed in all		
IDH1		ENSG00000138413	Isocitrate dehydrogenase (NADP(+)) 1, cytosolic	2	208236227-208266074	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB033218, HPA035248, HPA057936, CAB062556	Enhanced		Approved	Nuclear bodies<br>Cytosol	Renal cancer:2.45e-5 (unfavourable), Liver cancer:6.93e-5 (unfavourable)	Expressed in all	Expressed in all			prostate: 338.1	Expressed in all		
IDH2		ENSG00000182054	Isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	15	90083045-90102504	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA007831	Enhanced		Supported	Mitochondria	Cervical cancer:5.15e-5 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 450.0	Expressed in all		
