"ID";"UTR3_length";"ARE_counts"
"";1238,11904761905;2
"A1BG";1839;1
"A1CF";5271,14285714286;21
"A2M";111;0
"A2ML1";565,5;4
"A3GALT2";20;0
"A4GALT";768,5;0
"A4GNT";551;1
"AAAS";29,5;0
"AACS";1087;0
"AADAC";316;1
"AADACL2";3745;15
"AADACL3";2764;3
"AADACL4";351;1
"AADAT";704,25;3
"AAGAB";1116,33333333333;3
"AAK1";17872;36
"AAMDC";49,8333333333333;0
"AAMP";407;0
"AANAT";147;0
"AAR2";1188;1
"AARD";1786;5
"AARS1";426;0
"AARS2";1816;1
"AARSD1";67;0
"AASDH";211;1
"AASDHPPT";1788;6
"AASS";1648;6
"AATF";207;0
"AATK";4511;0
"ABAT";2148,33333333333;4
"ABCA1";3309;7
"ABCA10";820;6
"ABCA12";552;2
"ABCA13";1985;6
"ABCA2";695;1
"ABCA3";793;0
"ABCA4";403;0
"ABCA5";1906;9
"ABCA6";271;2
"ABCA7";147;0
"ABCA8";794;4
"ABCA9";1427;3
"ABCB1";805;3
"ABCB10";1597;11
"ABCB11";2841;4
"ABCB4";110,4;1
"ABCB5";816,5;3
"ABCB6";166;0
"ABCB7";1188;6
"ABCB8";1323,25;1
"ABCB9";670;0
"ABCC1";1772;2
"ABCC10";335;0
"ABCC11";363,5;0
"ABCC12";742;0
"ABCC2";963;1
"ABCC3";567,5;0
"ABCC4";579,5;2
"ABCC5";1273,5;2
"ABCC6";793;1
"ABCC8";176,2;0
"ABCC9";1831,5;9
"ABCD1";1020;1
"ABCD2";3879;20
"ABCD3";853,5;2
"ABCD4";1192;1
"ABCE1";1951;6
"ABCF1";716,5;2
"ABCF2";1402;2
"ABCF3";308;0
"ABCG1";852;1
"ABCG2";2047;7
"ABCG4";806,333333333333;1
"ABCG5";644;0
"ABCG8";5075;9
"ABHD1";68;0
"ABHD10";910,5;3
"ABHD11";333,5;0
"ABHD12";430,5;1
"ABHD12B";604;1
"ABHD13";4011;21
"ABHD14A";178;0
"ABHD14B";709,5;0
"ABHD15";2014;1
"ABHD16A";141,5;0
"ABHD16B";38;0
"ABHD17A";307;1
"ABHD17B";882;4
"ABHD17C";1251;5
"ABHD18";4114;12
"ABHD2";3630;5
"ABHD3";615,666666666667;4
"ABHD4";2267;0
"ABHD5";2310,5;5
"ABHD6";969;3
"ABHD8";530;0
"ABI1";1770,81818181818;11
"ABI2";7086,6;16
"ABI3";415,5;1
"ABI3BP";1160;10
"ABITRAM";1268;5
"ABL1";1006;1
"ABL2";1534,625;4
"ABLIM1";2328,2;5
"ABLIM2";1005,75;0
"ABLIM3";1416,2;1
"ABR";1065,2;1
"ABRA";1554;3
"ABRACL";399;0
"ABRAXAS1";2952;10
"ABRAXAS2";1696;11
"ABT1";2094;7
"ABTB1";444,666666666667;0
"ABTB2";1400;2
"ACAA1";334,5;1
"ACAA2";1683;3
"ACACA";1866,75;4
"ACACB";1862,5;0
"ACAD10";622,5;1
"ACAD11";830;2
"ACAD8";895;1
"ACAD9";507;2
"ACADL";1038;5
"ACADM";651,5;4
"ACADS";353;0
"ACADSB";2439,5;5
"ACADVL";168,333333333333;0
"ACAN";522;1
"ACAP1";82;0
"ACAP2";4583;19
"ACAP3";1173;0
"ACAT1";213;1
"ACAT2";283;1
"ACBD3";1931;5
"ACBD4";408,428571428571;0
"ACBD5";1786,8;10
"ACBD6";1852,5;1
"ACBD7";3055;9
"ACCS";445;1
"ACCSL";57;0
"ACD";93;0
"ACE";466;0
"ACE2";872;3
"ACER1";572;0
"ACER2";1869;4
"ACER3";2348;7
"ACHE";347;1
"ACIN1";496,833333333333;0
"ACKR1";49,3333333333333;0
"ACKR2";1627,5;1
"ACKR3";800;2
"ACKR4";1194;3
"ACLY";725;5
"ACMSD";174;1
"ACO1";2034,66666666667;4
"ACO2";361;1
"ACOD1";653;1
"ACOT1";141;2
"ACOT11";2839;4
"ACOT12";398;3
"ACOT13";3440,5;8
"ACOT2";140;2
"ACOT4";842;0
"ACOT6";49;0
"ACOT7";324;1
"ACOT8";117;0
"ACOT9";1090,66666666667;3
"ACOX1";2706;5
"ACOX2";88;0
"ACOX3";369,333333333333;0
"ACOXL";406;1
"ACP1";752,333333333333;3
"ACP2";521;0
"ACP3";856;2
"ACP4";61;0
"ACP5";339,666666666667;0
"ACP6";5193;8
"ACP7";742,5;2
"ACR";132;0
"ACRBP";207;0
"ACRV1";382,75;2
"ACSBG1";3976;13
"ACSBG2";460,75;1
"ACSF2";241,25;0
"ACSF3";1203,75;1
"ACSL1";948,571428571429;2
"ACSL3";1776,5;8
"ACSL4";2593,75;11
"ACSL5";1020,5;2
"ACSL6";2295,33333333333;7
"ACSM1";134,5;0
"ACSM2A";475,8;1
"ACSM2B";564,5;1
"ACSM3";336;1
"ACSM4";351;1
"ACSM5";632,5;1
"ACSM6";142;0
"ACSS1";1229;1
"ACSS2";746,5;1
"ACSS3";3416;10
"ACTA1";254;0
"ACTA2";149;0
"ACTB";406;1
"ACTBL2";1559;6
"ACTC1";182;1
"ACTG1";566,333333333333;2
"ACTG2";290;0
"ACTL10";290;0
"ACTL6A";394;0
"ACTL6B";149;0
"ACTL7A";126;0
"ACTL7B";95;1
"ACTL8";543;0
"ACTL9";51;0
"ACTN1";475;1
"ACTN2";1445,66666666667;5
"ACTN3";137;0
"ACTN4";2157;2
"ACTR10";1085;7
"ACTR1A";1634;2
"ACTR1B";919;2
"ACTR2";1965,5;10
"ACTR3";2638,5;6
"ACTR3B";535,333333333333;1
"ACTR3C";395;0
"ACTR5";704;1
"ACTR6";508;5
"ACTR8";1653;6
"ACTRT1";114;0
"ACTRT2";83;0
"ACTRT3";511;1
"ACVR1";930,5;4
"ACVR1B";1296,66666666667;3
"ACVR1C";1919,75;8
"ACVR2A";2585;14
"ACVR2B";9810;19
"ACVRL1";2468;1
"ACY1";121,6;0
"ACY3";169;0
"ACYP1";203;1
"ACYP2";498;4
"ADA";168;1
"ADA2";1829,71428571429;4
"ADAD1";51;0
"ADAD2";191,5;0
"ADAL";1104,6;2
"ADAM10";8738;27
"ADAM11";1106,5;1
"ADAM12";2842;6
"ADAM15";255,222222222222;0
"ADAM17";1691;7
"ADAM18";363,666666666667;2
"ADAM19";3645;5
"ADAM2";261,333333333333;2
"ADAM20";215;0
"ADAM21";237;0
"ADAM22";3243;9
"ADAM23";3500;0
"ADAM28";2516,5;7
"ADAM29";179,5;0
"ADAM30";431;3
"ADAM32";114;0
"ADAM33";993;2
"ADAM7";1019;3
"ADAM8";578,666666666667;0
"ADAM9";1561;7
"ADAMDEC1";715;1
"ADAMTS1";1824;5
"ADAMTS10";651,666666666667;1
"ADAMTS12";1267;4
"ADAMTS13";206;0
"ADAMTS14";1588;1
"ADAMTS15";2820;1
"ADAMTS16";1166;1
"ADAMTS17";2965;5
"ADAMTS18";1828;6
"ADAMTS19";1465;8
"ADAMTS2";1627,5;1
"ADAMTS20";343;4
"ADAMTS3";1497;5
"ADAMTS4";6836;10
"ADAMTS5";6131;25
"ADAMTS6";3098;9
"ADAMTS7";215;1
"ADAMTS8";635;1
"ADAMTS9";1393,5;3
"ADAMTSL1";1277,5;4
"ADAMTSL2";654,666666666667;1
"ADAMTSL3";1819;7
"ADAMTSL4";541,6;1
"ADAMTSL5";993;1
"ADAP1";1020,2;2
"ADAP2";902;0
"ADAR";2719,14285714286;3
"ADARB1";2818,66666666667;3
"ADARB2";5880;8
"ADAT1";214;0
"ADAT2";5631;14
"ADAT3";296;0
"ADCK1";1092;0
"ADCK2";307;1
"ADCK5";168;0
"ADCY1";3238;4
"ADCY10";200,666666666667;0
"ADCY2";3210;2
"ADCY3";761,5;4
"ADCY4";47,6666666666667;0
"ADCY5";1171;2
"ADCY6";2262;2
"ADCY7";1978;1
"ADCY8";89;0
"ADCY9";3122;7
"ADCYAP1";2537;10
"ADCYAP1R1";2483,25;2
"ADD1";1449,6;1
"ADD2";1872,16666666667;3
"ADD3";1535,33333333333;5
"ADGRA1";2040,5;0
"ADGRA2";2541;1
"ADGRA3";329;2
"ADGRB1";590,5;0
"ADGRB2";264;0
"ADGRB3";317,5;1
"ADGRD1";1115,5;2
"ADGRE1";417,8;1
"ADGRE2";1986,5;4
"ADGRE3";316;0
"ADGRE5";453,333333333333;0
"ADGRF1";1540;4
"ADGRF3";326,25;2
"ADGRF4";812,5;2
"ADGRF5";1431,5;4
"ADGRG1";1580,75;1
"ADGRG2";1552,625;4
"ADGRG3";575,5;0
"ADGRG4";398;1
"ADGRG5";1654;0
"ADGRG6";2812;8
"ADGRG7";367,5;0
"ADGRL1";2025;1
"ADGRL2";1247,6;3
"ADGRL3";4862;17
"ADGRL4";1390;3
"ADGRV1";537;0
"ADH1A";255;0
"ADH1B";2026,33333333333;5
"ADH1C";255;0
"ADH4";541;3
"ADH5";1439;2
"ADH6";889,5;2
"ADH7";498,5;2
"ADHFE1";555;2
"ADI1";1053,5;2
"ADIG";472;1
"ADIPOQ";3759;11
"ADIPOR1";741;3
"ADIPOR2";2602;4
"ADIRF";373,5;0
"ADK";509,5;4
"ADM";538,666666666667;3
"ADM2";3535,5;3
"ADM5";82;0
"ADNP";1891,6;4
"ADNP2";1537;3
"ADO";2607;6
"ADORA1";1504,66666666667;0
"ADORA2A";867,25;0
"ADORA2B";404;1
"ADORA3";646;0
"ADPGK";972;6
"ADPRH";1112,25;1
"ADPRHL1";535,5;0
"ADPRM";414;2
"ADPRS";546;0
"ADRA1A";502,666666666667;1
"ADRA1B";520;2
"ADRA1D";893;2
"ADRA2A";1513;1
"ADRA2B";1921;0
"ADRA2C";531;1
"ADRB1";1338;2
"ADRB2";614;1
"ADRB3";1228;0
"ADRM1";100,333333333333;0
"ADSL";1188,33333333333;3
"ADSS1";307;0
"ADSS2";1092;4
"ADTRP";527;1
"AEBP1";299;0
"AEBP2";3044;9
"AEN";1987;4
"AFAP1";3823;6
"AFAP1L1";1849;2
"AFAP1L2";1218;3
"AFDN";1365,33333333333;7
"AFF1";5345;14
"AFF2";5456;11
"AFF3";2686,5;6
"AFF4";5664;20
"AFG1L";3576;11
"AFG3L2";621;0
"AFM";166;0
"AFMID";764;1
"AFP";554;4
"AFTPH";650,666666666667;5
"AGA";934;6
"AGAP1";3484;7
"AGAP2";1405,5;1
"AGAP3";706;1
"AGAP4";321;1
"AGAP5";221;0
"AGAP6";20;0
"AGAP9";298;0
"AGBL1";212;0
"AGBL2";582;2
"AGBL3";517;3
"AGBL4";1319;1
"AGBL5";210,5;0
"AGER";231,4;0
"AGFG1";1720,75;7
"AGFG2";3229;2
"AGGF1";1982;6
"AGK";1453,66666666667;4
"AGL";2369,6;11
"AGMAT";1952;1
"AGMO";968;3
"AGO1";6138;10
"AGO2";6255,5;16
"AGO3";8736;21
"AGO4";4285;3
"AGPAT1";1064;1
"AGPAT2";566,333333333333;0
"AGPAT3";2752;2
"AGPAT4";6573;9
"AGPAT5";4115;17
"AGPS";5639;20
"AGR2";1097;3
"AGR3";170;1
"AGRN";1135;0
"AGRP";65;0
"AGT";618;1
"AGTPBP1";536;2
"AGTR1";604,625;2
"AGTR2";1602;2
