Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
AURKAIP1	AIP, AKIP, FLJ20608	ENSG00000175756	Aurora kinase A interacting protein 1	1	1373730-1375495	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA031821	Approved		Supported	Nucleoplasm<br>Mitochondria	Renal cancer:8.11e-4 (favourable)	Expressed in all	Expressed in all			testis: 148.3	Expressed in all		
CHCHD1	C10orf34, FLJ25854	ENSG00000172586	Coiled-coil-helix-coiled-coil-helix domain containing 1	10	73782047-73783652	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA039046	Approved		Supported	Nucleoplasm<br>Nucleoli fibrillar center<br>Mitochondria	Urothelial cancer:5.42e-4 (favourable)	Expressed in all	Expressed in all			epididymis: 62.7	Expressed in all		
DAP3	bMRP-10, DAP-3, DKFZp686G12159, MGC126058, MGC126059, MRP-S29, MRPS29	ENSG00000132676	Death associated protein 3	1	155687960-155739010	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA023687	Approved		Supported	Nucleoplasm<br>Mitochondria	Renal cancer:4.14e-6 (unfavourable), Liver cancer:1.20e-4 (unfavourable)	Expressed in all	Expressed in all			breast: 82.0	Expressed in all		
FAU	asr1, FLJ22986, Fub1, Fubi, MNSFbeta, RPS30, S30	ENSG00000149806	FAU, ubiquitin like and ribosomal protein S30 fusion	11	65120628-65122473	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA059015	Supported		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol		Expressed in all	Expressed in all			ovary: 1268.8	Expressed in all		
GADD45GIP1	CKBBP2, CKbetaBP2, CRIF1, MGC4667, MGC4758, PLINP-1, Plinp1, PRG6	ENSG00000179271	GADD45G interacting protein 1	19	12953119-12957236	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA055205, HPA065048	Supported		Supported	Mitochondria		Expressed in all	Expressed in all			cerebral cortex: 29.7	Expressed in all		
IMP3	BRMS2, C15orf12, FLJ10968, MRPS4	ENSG00000177971	IMP3, U3 small nucleolar ribonucleoprotein	15	75639085-75648706	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA060955, HPA061177			Enhanced	Nucleus<br>Nucleoli		Expressed in all	Expressed in all			spleen: 47.6	Expressed in all		
MRPL1	BM022	ENSG00000169288	Mitochondrial ribosomal protein L1	4	77862520-77952790	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043656	Supported		Supported	Mitochondria	Renal cancer:3.35e-5 (favourable)	Expressed in all	Expressed in all			kidney: 29.5	Expressed in all		
MRPL10	L10MT, MGC17973, MRP-L10, MRP-L8, MRPL8, RPML8	ENSG00000159111	Mitochondrial ribosomal protein L10	17	47823272-47831534	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA021234, HPA029885	Enhanced		Enhanced	Mitochondria	Liver cancer:6.67e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 61.1	Expressed in all		
MRPL11		ENSG00000174547	Mitochondrial ribosomal protein L11	11	66435075-66466738	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA057685	Approved		Supported	Mitochondria		Expressed in all	Expressed in all			fallopian tube: 26.7	Expressed in all		
MRPL12	MRPL7, MRPL7/L12, RPML12	ENSG00000262814	Mitochondrial ribosomal protein L12	17	81703357-81707526	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA022853, HPA023043	Supported		Supported	Mitochondria	Lung cancer:2.35e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 57.4	Expressed in all		
MRPL13	L13, L13A, L13mt, RPL13, RPML13	ENSG00000172172	Mitochondrial ribosomal protein L13	8	120380761-120445402	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA060899	Approved				Breast cancer:1.37e-4 (unfavourable)	Expressed in all	Expressed in all			kidney: 49.4	Expressed in all		
MRPL14	MRP-L32, RPML32	ENSG00000180992	Mitochondrial ribosomal protein L14	6	44113454-44127457	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA038769, HPA076790	Uncertain		Supported	Mitochondria	Renal cancer:7.46e-5 (unfavourable), Thyroid cancer:1.08e-4 (favourable), Ovarian cancer:4.81e-4 (favourable)	Expressed in all	Expressed in all			lung: 85.6	Expressed in all		
MRPL15	HSPC145, L15mt, MRP-L15, MRP-L7, RPML7	ENSG00000137547	Mitochondrial ribosomal protein L15	8	54135210-54147901	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA044425	Enhanced				Endometrial cancer:5.37e-4 (unfavourable)	Expressed in all	Expressed in all			heart muscle: 84.8	Expressed in all		
MRPL16	FLJ20484, PNAS-111	ENSG00000166902	Mitochondrial ribosomal protein L16	11	59806135-59810872	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA054133	Supported				Breast cancer:1.04e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 71.6	Expressed in all		
MRPL17	MRP-L26, RPML26	ENSG00000158042	Mitochondrial ribosomal protein L17	11	6680782-6683401	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043666, HPA050552	Uncertain		Uncertain	Nucleoli<br>Golgi apparatus<br>Vesicles	Renal cancer:3.15e-7 (unfavourable), Liver cancer:2.59e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 37.0	Expressed in all		
MRPL18	HSPC071	ENSG00000112110	Mitochondrial ribosomal protein L18	6	159789812-159798436	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA028774, HPA028775	Enhanced				Renal cancer:9.02e-5 (unfavourable), Liver cancer:3.61e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 85.9	Expressed in all		
MRPL19	KIAA0104, MRP-L15, RLX1, RPML15	ENSG00000115364	Mitochondrial ribosomal protein L19	2	75646783-75690851	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA046805, HPA056622	Approved		Supported	Mitochondria	Pancreatic cancer:1.97e-5 (unfavourable), Colorectal cancer:7.39e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 66.4	Expressed in all		
MRPL2	CGI-22, MRP-L14, RPML14	ENSG00000112651	Mitochondrial ribosomal protein L2	6	43054029-43059806	Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA007455, HPA064814	Approved		Approved	Nucleoplasm<br>Mitochondria	Ovarian cancer:6.01e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 33.3	Expressed in all		
MRPL20	FLJ10024	ENSG00000242485	Mitochondrial ribosomal protein L20	1	1401908-1407313	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA047074	Supported		Supported	Mitochondria		Expressed in all	Expressed in all			epididymis: 156.4	Expressed in all		
MRPL21		ENSG00000197345	Mitochondrial ribosomal protein L21	11	68891276-68903835	Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA051657	Approved		Approved	Nucleoplasm<br>Mitochondria	Head and neck cancer:5.97e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 75.1	Expressed in all		
MRPL22	HSPC158, MRP-L25, RPML25	ENSG00000082515	Mitochondrial ribosomal protein L22	5	154941070-154969411	Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Evidence at protein level	HPA047063	Uncertain		Approved	Mitochondria		Expressed in all	Expressed in all			testis: 48.4	Expressed in all		
MRPL23	L23MRP, RPL23L	ENSG00000214026	Mitochondrial ribosomal protein L23	11	1947278-1984522	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA050406	Approved		Supported	Nucleoli fibrillar center<br>Mitochondria	Endometrial cancer:3.97e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 89.5	Cell line enhanced		HEK 293: 573.2
