Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ADNP	ADNP1, KIAA0784	ENSG00000101126	Activity dependent neuroprotector homeobox	20	50888919-50931240	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006371	Supported		Approved	Nucleoplasm	Liver cancer:1.65e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 81.7	Expressed in all		
ADNP2	KIAA0863, ZNF508	ENSG00000101544	ADNP homeobox 2	18	80109031-80147523	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA007126	Uncertain		Approved	Mitochondria<br>Cytosol	Renal cancer:6.39e-5 (favourable), Thyroid cancer:9.90e-4 (unfavourable)	Expressed in all	Mixed			testis: 39.7	Mixed		
AEBP2	MGC17922	ENSG00000139154	AE binding protein 2	12	19404045-19720801	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA020893, HPA022282	Uncertain		Supported	Nucleus	Liver cancer:3.24e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 57.5	Expressed in all		
AHR	bHLHe76	ENSG00000106546	Aryl hydrocarbon receptor	7	17298622-17346152	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB005072, HPA029722, HPA029723	Enhanced		Supported	Nucleoplasm<br>Cytosol		Expressed in all	Mixed			lung: 56.4	Mixed		
AHRR	AHH, AHHR, bHLHe77, KIAA1234	ENSG00000063438	Aryl-hydrocarbon receptor repressor	5	304176-438291	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA021483			Supported	Nucleoplasm<br>Cytosol		Mixed	Tissue enriched	8	testis: 65.2	skin: 7.9	Cell line enhanced		HMC-1: 89.0;NB-4: 80.8;WM-115: 71.5
AIRE	APECED, APS1, PGA1	ENSG00000160224	Autoimmune regulator	21	44285838-44298648	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA038267	Uncertain					Tissue enriched	Not detected			lymph node: 0.3	Not detected		
ALX1	CART1	ENSG00000180318	ALX homeobox 1	12	85280107-85301784	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001598, HPA018905	Uncertain		Supported	Nucleoplasm<br>Nuclear bodies<br>Golgi apparatus		Tissue enriched	Tissue enhanced		epididymis: 4.3;kidney: 3.1	ovary: 1.8	Cell line enhanced		HEK 293: 19.4;HUVEC TERT2: 13.0;SK-MEL-30: 20.2;THP-1: 11.5;WM-115: 13.3
ALX3	FND	ENSG00000156150	ALX homeobox 3	1	110059994-110070700	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Not detected	Mixed			skin: 7.7	Mixed		
ALX4	FPP, KIAA1788, PFM, PFM2	ENSG00000052850	ALX homeobox 4	11	44260444-44310166	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001903			Supported	Nucleoplasm		Tissue enhanced	Tissue enhanced		breast: 2.2	endometrium,testis: 1.0	Cell line enhanced		AN3-CA: 3.7;BJ: 2.8;HAP1: 4.8;HEK 293: 4.4;HEL: 6.0;K-562: 2.8;SiHa: 7.4
AR	AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1	ENSG00000169083	Androgen receptor	X	67544032-67730619	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000001, HPA065701, CAB065764	Enhanced		Approved	Mitochondria	Renal cancer:1.03e-8 (favourable), Liver cancer:8.77e-4 (favourable)	Mixed	Mixed			fallopian tube: 42.3	Cell line enhanced		AF22: 15.6;HAP1: 21.1;LHCN-M2: 14.9;RH-30: 28.3
